Case #,Date,Time,Involved,Name/Description,Gender,Height,Weight (lbs),Hair Colour,Emergency Services Required,Call initiated to: Police (911),Call initiated to: Ambulance  (911),Call initiated to: Fire (911),Attended By: Police,Attended By: Ambulance,Attended By:Fire,Vehicle ID,Incident Teyp(S):  Medical,Incident Teyp(S):  Injury,Incident Teyp(S):  Drug/Alcohol,Incident Teyp(S): Violence,Incident Teyp(S): Staff Abuse,Incident Teyp(S):  Refuse to leave,Incident Teyp(S): Property Damage,Incident Teyp(S): Other (Type),First Aid required,Overdose,Naloxone,Event Location: Drop In,Event Location: Lobby,Event Location: Courtyard,Event Location: Kitchen,Event Location: Dinning Area,Event Location: Chapel,Event Location: Hygiene,Event Location: Games room,Event Location: Shipping&Reveiving Area ,Event Location: Common Housing Area,Event Location: In Room,Event Location: Perimeter,Event Location:Snack Bar,Other: (Enter)
50,Jan-09-2018,09:30:00,,R60,0,,,,0,0,0,0,1,0,0,J15592,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
51,Jan-09-2018,09:57:00,A1,R47,0,,,,0,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
52,Jan-09-2018,11:30:00,A1,R4,,,,1,,,,,1,,,Bike  Patrol,,,,1,,,,,0,0,0,,,1,,,,,,,,,1,,
53,Jan-09-2018,NA,A1,R28,0,5'8,130,short brown,0,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
54,Jan-09-2018,15:30:00,,R26,0,5'10,150,brown,1,,,,1,,,,,,,,,1,,,0,0,1,,,,,,,,,,,,,,
55,Jan-10-2018,11:00:00,A1,R47,0,,,,1,1,,,,,,J15575,,,,,,1,,,0,0,,1,,,,,,,,,,,,,
56,Jan-10-2018,13:02:00,A1,R72,0,5'10,,Black,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
57,Jan-10-2018,13:30:00,A1,R6,1,5'9,145,Blond,0,1,,,,,,Beat Officers,,,,1,,1,,,,,,,,,,,,,,,,,,,POD
58,,13:30:00,A1,R29,1,5'4,120,Blond,,1,,,,,,Beat Officers,,,,1,,1,,,,,,,,,,,,,,,,,,,POD
59,Jan-10-2018,NA,,R14,0,5'10,135,Black,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,
60,Jan-10-2018,15:24:00,A1,R47,0,5'10,150,Brown,1,1,,,1,,,unmarked-VI5586,,,,,,1,,,0,0,0,,,1,,,,,,,,,,,
2,Jan-17-2018,16:28:00,A1,R16,0,5'10,180,brown,1,,1,,,1,1, 63444 E1,1,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
3,Jan-17-2018,18:20:00,A1,R49,1,5'1,105,Red,1,1,,,,,,62861,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4,Jan-17-2018,08:30:00,A01,R39,0,5'9,150,white,0,,,,,,,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
5,Jan-18-2018,09:00:00,A01,R33,0,5'8,140,brown,0,1,,,,,,V15566,0,0,0,0,0,0,0,Missing person,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
6,Jan-18-2018,09:27:00,A01,R9,1,5'2,,,0,1,,,,,,v15584,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clothing
15,Jan-02-2018,15:00:00,A1,R47,1,,,,,0,,,,,,,0,0,0,0,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,
16,Jan-02-2018,15:00:00,A1,R77,1,6'0,158,short,0,,,,,,,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17,Jan-02-2018,19:00:00,A1,R47,1,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,
18,Jan-02-2018,19:25:00,A1,R25,0,6'6,130,,,0,,,,,,,,,,,,,,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,
19,Jan-03-2018,10:45:00,A1,R47,1,5'0,180,brown,,0,,,,,,Beat Cops,,,,,,,,,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,
20,Jan-03-2018,10:45:00,A1,R19,1,5'8,170,Brown,1,0,,,,,,beat cops,0,0,0,0,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,
21,Jan-03-2018,12:50:00,A1,R62,1,,,,1,,1,,,,,63318 E3-45,1,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
20,Jan-03-2018,10:45:00,A1,R52,1,5'3,,,0,,,,,,,,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
23,Jan-03-2018,22:10:00,A1,R59,0,5'6,140,black,1,0,,,1,,,,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
24,Jan-03-2028,10:50:00,A1,R96,1,6'3,190,red brown,1,1, ,),1,1,,15543/ghost car 62941,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,Jan-28-2018,13:45:00,A1,R8,1,,,,0,1,0,0,1,0,0,V15565,0,0,0,0,0,1,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,
6,Jan-28-2018,17:20:00,A1,R123,0,,,,1,0,1,0,0,1,1,"63021, 63040, E1",1,0,1,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Jan-01-2018,10:05:00,A1,R3,0,5'6,160,bald/very short dark brown hair,,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,
